EventID,event_name,SampleID,sample,tblSampleID,ices_area,fao_code,catch_date,age,length,weight,maturity,sex,prep_method,stock,reader_number,expertise,country,institute,iso_code,reader,AnnotationID,FishID,IsApproved,strata,AQ_Score,Edge,Nucleus,Comment,tblSmartImageID,ImageName
448,2022 NSS herring exchange (scales),S_39015_14,72335,104110,27.2.a,27.2.a,23/01/2021 00:00:00,4,290,,,F,Whole,her.27.1-24a514a,2,1,NORWAY,,NO,R02 NO,704345,S_39015_14,1,27.2.a,AQ1,,,,72335,S_39015_14.jpg
448,2022 NSS herring exchange (scales),S_39015_22,72343,104118,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,2,1,NORWAY,,NO,R02 NO,679843,S_39015_22,1,27.2.a,AQ1,,,,72343,S_39015_22.jpg
448,2022 NSS herring exchange (scales),S_39015_03,72324,104099,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,4,1,NORWAY,,NO,R04 NO,574054,S_39015_03,1,27.2.a,AQ1,,,,72324,S_39015_03.jpg
448,2022 NSS herring exchange (scales),S_39015_14,72335,104110,27.2.a,27.2.a,23/01/2021 00:00:00,4,290,,,F,Whole,her.27.1-24a514a,4,1,NORWAY,,NO,R04 NO,574127,S_39015_14,1,27.2.a,AQ1,,,,72335,S_39015_14.jpg
448,2022 NSS herring exchange (scales),S_39015_22,72343,104118,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,4,1,NORWAY,,NO,R04 NO,579398,S_39015_22,1,27.2.a,AQ1,,,,72343,S_39015_22.jpg
448,2022 NSS herring exchange (scales),S_39015_03,72324,104099,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,8,1,ICELAND,,IS,R08 IS,660576,S_39015_03,1,27.2.a,AQ2,,,"",72324,S_39015_03.jpg
448,2022 NSS herring exchange (scales),S_39015_14,72335,104110,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,8,1,ICELAND,,IS,R08 IS,660549,S_39015_14,1,27.2.a,AQ2,,,"",72335,S_39015_14.jpg
448,2022 NSS herring exchange (scales),S_39015_22,72343,104118,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,8,1,ICELAND,,IS,R08 IS,660540,S_39015_22,1,27.2.a,AQ1,,,"",72343,S_39015_22.jpg
448,2022 NSS herring exchange (scales),S_39015_03,72324,104099,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,14,1,NORWAY,,NO,R14 NO,581100,S_39015_03,1,27.2.a,AQ1,,,,72324,S_39015_03.jpg
448,2022 NSS herring exchange (scales),S_39015_14,72335,104110,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,14,1,NORWAY,,NO,R14 NO,581170,S_39015_14,1,27.2.a,AQ1,,,,72335,S_39015_14.jpg
448,2022 NSS herring exchange (scales),S_39015_22,72343,104118,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,14,1,NORWAY,,NO,R14 NO,581234,S_39015_22,1,27.2.a,AQ1,,,,72343,S_39015_22.jpg
448,2022 NSS herring exchange (scales),S_39015_03,72324,104099,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,16,0,NORWAY,,NO,R16 NO,705108,S_39015_03,1,27.2.a,AQ1,,,,72324,S_39015_03.jpg
448,2022 NSS herring exchange (scales),S_39015_14,72335,104110,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,16,0,NORWAY,,NO,R16 NO,704838,S_39015_14,1,27.2.a,AQ2,,,,72335,S_39015_14.jpg
448,2022 NSS herring exchange (scales),S_39015_22,72343,104118,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,16,0,NORWAY,,NO,R16 NO,699155,S_39015_22,1,27.2.a,AQ1,,,,72343,S_39015_22.jpg
448,2022 NSS herring exchange (scales),S_39015_03,72324,104099,27.2.a,27.2.a,23/01/2021 00:00:00,5,290,,,F,Whole,her.27.1-24a514a,18,1,ICELAND,,IS,R18 IS,660538,S_39015_03,1,27.2.a,AQ1,,,"",72324,S_39015_03.jpg
